timestamp,public_user_id,event,state,action,user_mode,language,days_since_first_seen,session_id,meta_json,sheets_delivery
2026-08-12T17:59:55.130108+00:00,20260812-0003,interview_ready_with_uncertainty,CareerFlow:INTERVIEW,,fast,ru,,43d089d1-8ba7-407d-92c9-6251e79e3e17,"{""question_index"": 1, ""status"": ""ready_with_uncertainty"", ""seconds_from_prev_event"": 0.1, ""seconds_in_current_state"": 47.33}",failed_or_disabled
2026-08-12T17:59:55.130108+00:00,20260812-0003,extended_diag_forced_completed,CareerFlow:INTERVIEW,,fast,ru,,43d089d1-8ba7-407d-92c9-6251e79e3e17,"{""stage"": ""post_fast_questions"", ""seconds_from_prev_event"": 0.07, ""seconds_in_current_state"": 47.4}",failed_or_disabled
2026-08-12T17:59:55.130108+00:00,20260812-0003,interview_ready_with_uncertainty,CareerFlow:INTERVIEW,,fast,ru,,43d089d1-8ba7-407d-92c9-6251e79e3e17,"{""question_index"": 1, ""status"": ""ready_with_uncertainty"", ""seconds_from_prev_event"": 0.1, ""seconds_in_current_state"": 47.33, ""source_event"": ""interview_ready_early""}",failed_or_disabled
2026-08-12T17:59:55.129110+00:00,20260812-0003,question_answered,CareerFlow:INTERVIEW,,fast,ru,,43d089d1-8ba7-407d-92c9-6251e79e3e17,"{""question_index"": 1, ""chars"": 20, ""turn"": 5, ""seconds_from_prev_event"": 0.72, ""seconds_in_current_state"": 47.23, ""source_event"": ""answer_submitted""}",failed_or_disabled
2026-08-12T18:00:49.254886+00:00,20260812-0003,report_started,CareerFlow:GENERATING_REPORT,,fast,ru,,43d089d1-8ba7-407d-92c9-6251e79e3e17,"{""mode"": ""fast"", ""seconds_from_prev_event"": 54.1, ""seconds_in_current_state"": 0.0, ""previous_state"": ""CareerFlow:INTERVIEW"", ""previous_state_duration_seconds"": 101.5}",failed_or_disabled
2026-08-12T18:00:50.092495+00:00,20260812-0003,report_guardrail_failed,CareerFlow:GENERATING_REPORT,,fast,ru,,43d089d1-8ba7-407d-92c9-6251e79e3e17,"{""errors"": [""[WARNING] Psychological assertion 'страх отказа' appears in report as fact but was not confirmed by user. Must be framed as hypothesis or removed.""], ""seconds_from_prev_event"": 0.74, ""seconds_in_current_state"": 0.74}",failed_or_disabled
2026-08-12T18:00:50.093492+00:00,20260812-0003,report_generated,CareerFlow:GENERATING_REPORT,,fast,ru,,43d089d1-8ba7-407d-92c9-6251e79e3e17,"{""has_income_signal"": false, ""seconds_from_prev_event"": 0.1, ""seconds_in_current_state"": 0.84}",failed_or_disabled
2026-08-12T18:00:50.093492+00:00,20260812-0003,report_draft_empty_blocked,CareerFlow:GENERATING_REPORT,,fast,ru,,43d089d1-8ba7-407d-92c9-6251e79e3e17,"{""seconds_from_prev_event"": 0.04, ""seconds_in_current_state"": 0.91}",failed_or_disabled
2026-08-12T18:00:50.093492+00:00,20260812-0003,report_guardrail_failed,CareerFlow:GENERATING_REPORT,,fast,ru,,43d089d1-8ba7-407d-92c9-6251e79e3e17,"{""errors"": [""[WARNING] Psychological assertion 'страх отказа' appears in report as fact but was not confirmed by user. Must be framed as hypothesis or removed.""], ""seconds_from_prev_event"": 0.74, ""seconds_in_current_state"": 0.74, ""source_event"": ""guardrail_violations""}",failed_or_disabled
2026-08-12T18:00:50.093492+00:00,20260812-0003,report_profile_snapshot,CareerFlow:GENERATING_REPORT,,fast,ru,,43d089d1-8ba7-407d-92c9-6251e79e3e17,"{""user_segment"": ""entrepreneur"", ""user_segment_label"": ""Предприниматели"", ""resource_level"": ""medium"", ""integration_level"": ""medium"", ""recommended_main_path"": ""-"", ""energy_sources"": [], ""career_priorities"": [], ""seconds_from_prev_event"": 0.03, ""seconds_in_current_state"": 0.87}",failed_or_disabled
2026-08-12T18:01:18.681262+00:00,20260812-0003,pace_selected,WAITING_STORY,⚡ Быстро и по делу,fast,ru,,,{},failed_or_disabled
2026-08-12T18:01:32.477182+00:00,20260812-0003,story_evidence_extracted,CareerFlow:WAITING_STORY,,fast,ru,,,"{""chars"": 792, ""answer_length"": ""long"", ""tone"": ""calm"", ""seconds_in_current_state"": 0.0}",failed_or_disabled
2026-08-12T18:01:32.478184+00:00,20260812-0003,story_evidence_extracted,CareerFlow:WAITING_STORY,,fast,ru,,,"{""chars"": 792, ""answer_length"": ""long"", ""tone"": ""calm"", ""seconds_in_current_state"": 0.0, ""source_event"": ""story_submitted""}",failed_or_disabled
2026-08-12T18:01:41.486906+00:00,20260812-0003,story_evidence_extracted,CareerFlow:WAITING_STORY,,fast,ru,,,"{""chars"": 792, ""answer_length"": ""long"", ""tone"": ""calm"", ""seconds_from_prev_event"": 9.01, ""seconds_in_current_state"": 9.01}",failed_or_disabled
2026-08-12T18:01:41.486906+00:00,20260812-0003,story_evidence_extracted,CareerFlow:WAITING_STORY,,fast,ru,,,"{""chars"": 792, ""answer_length"": ""long"", ""tone"": ""calm"", ""seconds_from_prev_event"": 9.01, ""seconds_in_current_state"": 9.01, ""source_event"": ""story_submitted""}",failed_or_disabled
